Day,Top 50 Arrivals BOPs
731,863 1766 1131 1832 381 2468 575 2260 1034 882 1743 721 899 841 108 914 1679 570 829 1199 1534 61 516 1417 2292 75 681 1668 910 1946 116 355 601 1128 2234 2460 2135 1577 2241 1523 1768 535 1300 1192 2029 2161 348 864 1385 490
732,1766 863 1131 2468 2260 575 1743 882 1832 841 899 914 108 721 829 570 601 1199 1417 61 1534 1946 1668 535 116 2460 1128 681 1577 355 2135 2445 381 2292 1768 1679 2161 2241 1523 2234 1192 490 864 910 1330 1870 2199 1034 1300 516
733,1766 863 1131 2468 575 1743 1832 1034 108 829 914 899 348 841 535 570 1946 516 601 1534 2277 1199 721 2460 2135 116 1128 1523 1577 1330 1019 2161 2260 355 1300 1768 2234 61 381 864 1096 1385 1668 1679 31 681 1192 2121 490 2199
734,863 1131 1034 1766 1832 575 1743 914 899 2468 108 841 381 1385 31 864 570 829 516 2234 1946 2334 2460 1300 116 1534 1128 1509 535 508 1523 1768 2199 329 480 1139 721 213 1121 1199 1577 629 1192 358 1041 2161 2428 71 1679 813
735,863 1766 575 899 381 2468 348 1034 108 1385 31 841 1832 2460 864 1131 2277 570 1128 116 829 2334 2199 2234 1300 1509 1768 1743 508 1946 882 1144 1523 358 480 910 71 629 767 1041 516 721 1139 1199 1577 533 1121 1524 1471 213
736,863 381 1832 899 2468 348 1131 1385 31 108 2460 535 841 1034 1128 1766 570 864 1509 2277 2334 2199 575 480 767 533 508 829 1041 2234 1946 1300 1330 629 386 71 1144 1139 1534 1577 358 1524 910 1259 1523 1199 1192 813 2428 1121
737,381 1832 863 1034 2468 348 535 1199 2460 108 1385 31 2277 533 570 575 899 2334 480 1041 1131 2199 2260 864 386 508 841 2234 1259 910 1534 914 829 629 1300 1524 1577 71 1946 2292 721 1139 357 882 1509 1679 516 1192 1330 1523
738,1832 381 863 2468 1199 1034 2460 1385 575 108 535 31 348 1041 2260 570 1259 533 2199 2334 882 508 914 1131 2234 386 841 864 899 1534 1144 358 629 1524 71 910 1300 2292 1577 516 721 829 1946 1192 357 329 881 1139 813 1730
739,381 1832 535 1034 863 2468 348 1199 2460 1385 2260 31 108 570 1144 1534 2334 508 914 1131 533 2199 1259 882 1300 1524 2234 71 386 841 864 899 516 358 910 1192 357 629 881 1577 1946 2327 829 1139 813 1766 612 1523 1679 1730
740,381 1832 863 2468 2460 1199 348 2260 1144 1034 1385 31 767 1534 1131 2334 108 882 2199 535 914 358 533 508 570 1434 2234 899 71 516 1020 1259 2277 386 864 1524 841 721 1300 1766 629 881 1192 1679 1139 1577 357 829 1730 2163
