BOP,Bird Love Score [<3]
2,68.43
3,25.26
19,69.55
22,75.11
24,79.18
26,62.89
45,27.99
66,64.75
72,75.05
87,35.15
93,15.22
108,34.01
113,72.77
115,11.62
141,43.45
151,50.75
165,13.36
173,69.01
182,74.62
183,41.74
189,38.44
222,30.03
235,82.04
239,71.10
289,48.68
293,64.76
316,61.39
317,71.79
329,16.77
342,12.50
343,36.76
348,87.87
354,40.83
369,9.82
381,90.74
393,23.85
402,19.04
411,28.03
427,17.07
468,54.76
476,37.30
495,68.53
496,40.85
502,18.70
518,46.27
569,27.88
570,32.72
598,39.49
606,43.39
632,18.14
637,80.95
664,44.21
667,13.30
680,46.79
700,24.90
704,31.69
728,47.92
736,84.66
738,45.17
748,37.46
752,62.66
765,34.34
767,88.65
772,76.48
797,20.56
803,25.67
820,54.78
821,47.98
823,13.12
828,39.32
835,18.58
843,33.57
871,66.00
873,18.29
876,9.07
881,44.32
891,58.25
894,78.95
899,87.05
902,28.06
912,45.33
930,26.84
934,84.01
938,55.92
942,31.98
955,44.36
960,39.08
965,11.03
981,55.54
1023,45.73
1040,14.39
1055,42.78
1067,46.50
1104,39.98
1137,21.78
1198,25.33
1222,62.63
1232,21.11
1235,38.18
1253,41.29
1261,34.17
1263,18.12
1272,24.86
1295,74.80
1296,42.35
1297,67.63
1319,10.20
1322,24.60
1328,21.38
1379,33.69
1423,37.42
1453,22.14
1461,11.31
1485,38.75
1491,37.32
1541,43.44
1545,42.99
1548,44.76
1606,13.49
1613,34.45
1614,15.32
1617,43.18
1627,81.23
1642,31.51
1651,73.77
1668,39.96
1687,39.31
1711,21.83
1730,35.81
1738,21.61
1745,14.85
1752,36.19
1754,20.25
1755,29.68
1763,49.04
1770,18.95
1788,23.65
1791,48.08
1799,60.87
1824,46.26
1855,46.91
1856,69.18
1864,35.74
1898,26.92
1901,23.14
1920,22.79
1924,21.50
1927,9.79
1951,9.96
1952,38.05
1961,51.14
1978,61.43
2024,48.12
2039,26.74
2057,76.23
2066,45.30
2071,54.88
2072,5.59
2078,11.73
2136,23.41
2145,40.65
2149,30.30
2154,42.49
2161,46.55
2164,28.72
2165,27.10
2175,12.76
2182,35.91
2185,29.59
2222,14.40
2232,25.33
2256,67.04
2267,82.50
2283,32.77
2285,20.21
2292,40.91
2308,46.86
2309,46.73
2333,27.44
2341,84.53
2346,47.88
2356,45.92
2360,36.76
2364,15.09
2382,17.53
2389,34.83
2391,36.86
2408,57.53
2414,26.55
2428,68.24
2439,44.38
2446,28.30
2464,9.44
2469,27.24
2470,43.99
2473,45.59
2479,53.36
2480,27.81
2490,41.59
2498,68.15
