BOP,Bird Love Score [<3]
1,51.66
25,70.31
29,8.88
35,75.43
47,67.62
74,35.58
80,10.78
101,33.56
136,20.51
142,79.33
148,65.60
155,20.92
162,17.66
169,73.20
228,25.60
272,89.30
275,64.71
286,52.90
291,52.30
322,18.25
339,51.73
341,44.36
361,71.52
363,83.35
380,52.44
424,62.24
505,14.57
529,53.57
538,6.78
559,67.23
577,39.05
582,52.18
591,76.75
600,78.22
601,56.82
617,8.15
625,51.11
635,27.58
640,62.92
677,77.06
688,60.52
701,33.03
702,66.27
733,45.50
739,66.32
745,80.64
746,66.22
747,68.75
763,51.08
768,11.62
773,53.12
784,10.35
795,60.12
802,65.06
812,52.76
819,75.74
829,63.42
869,81.65
878,74.71
887,54.17
890,72.48
911,59.37
916,70.52
928,74.01
950,42.09
954,64.33
992,23.47
994,57.25
1003,62.81
1008,68.33
1010,6.31
1012,64.72
1021,72.94
1030,82.13
1041,87.72
1042,52.34
1044,65.27
1045,85.43
1061,26.40
1075,72.57
1077,26.43
1092,82.70
1094,72.07
1112,73.88
1120,81.87
1128,85.62
1134,33.18
1154,39.40
1160,27.15
1168,76.14
1178,47.40
1217,44.76
1256,16.17
1257,75.16
1259,87.78
1287,32.97
1312,81.42
1320,56.46
1326,21.68
1338,53.53
1364,64.16
1366,68.31
1375,70.33
1376,28.09
1413,86.01
1418,66.94
1439,68.59
1455,43.40
1492,63.71
1501,70.95
1502,41.95
1505,54.83
1515,76.29
1523,35.44
1544,24.75
1553,85.46
1566,86.58
1584,62.41
1615,74.85
1646,55.35
1652,74.76
1669,51.68
1673,25.21
1683,57.20
1700,21.22
1706,16.13
1710,53.45
1735,38.04
1739,43.52
1748,75.43
1776,82.63
1781,81.90
1784,81.15
1805,71.35
1831,81.53
1862,60.57
1870,74.53
1871,58.84
1874,23.64
1877,54.68
1900,77.03
1904,61.06
1914,60.93
1916,51.48
1917,43.56
1921,19.59
1922,72.83
1925,60.76
1930,37.15
1939,54.98
1945,51.64
1960,49.81
1979,22.59
1992,55.43
1999,61.26
2002,85.84
2011,20.94
2012,77.26
2019,25.72
2036,86.02
2047,51.88
2048,72.72
2082,55.75
2086,68.35
2087,53.12
2094,68.71
2101,71.09
2104,87.04
2119,61.32
2127,8.00
2129,36.15
2138,51.40
2142,43.22
2151,82.93
2169,11.52
2174,77.44
2180,59.93
2190,68.02
2193,80.97
2197,22.87
2202,83.27
2203,36.07
2208,68.09
2214,69.17
2218,11.92
2249,54.41
2288,11.29
2314,23.08
2322,70.32
2330,25.45
2337,28.53
2369,71.42
2406,75.80
2417,54.20
2430,25.95
2443,78.26
2447,77.74
2456,34.65
2458,7.18
2491,18.71
