BOP,Bird Love Score [<3]
118,41.96
188,55.12
196,45.53
220,46.17
242,43.60
282,54.73
300,48.31
307,61.31
320,60.21
340,43.51
352,55.60
376,36.75
417,43.64
447,30.19
452,50.25
494,51.95
636,46.73
671,56.61
682,41.84
685,60.31
697,40.15
698,40.11
782,46.46
810,51.09
818,37.43
849,61.28
968,48.92
1019,58.50
1035,34.77
1047,40.88
1078,48.48
1101,56.74
1139,51.88
1143,61.45
1146,45.61
1212,48.97
1248,60.86
1265,52.45
1274,31.77
1288,56.04
1350,46.68
1354,60.49
1362,46.84
1383,54.55
1397,42.82
1435,48.21
1447,50.69
1464,34.02
1477,53.29
1482,60.15
1535,54.84
1539,31.12
1556,61.81
1563,46.68
1576,39.34
1577,31.57
1587,43.64
1661,63.34
1713,51.97
1803,52.05
1804,39.59
1838,45.73
1847,42.40
1850,46.65
1907,36.27
1948,38.31
1972,46.04
1976,51.75
1988,30.32
1994,46.73
2022,38.07
2028,54.55
2035,59.02
2074,50.96
2076,41.57
2088,30.72
2139,44.25
2199,37.17
2212,48.12
2242,60.62
2266,46.08
2272,46.35
2273,60.02
2301,36.03
2302,53.26
2320,63.13
2325,35.25
2352,40.39
2393,40.13
2398,45.58
2403,36.16
2407,60.29
2413,59.44
2420,52.94
2425,59.94
2441,36.81
2448,32.14
2450,34.60
2477,61.18
2494,48.72
