Day,Top 50 Arrivals BOPs
731,381 2360 1534 1450 1768 533 697 516 2165 1832 575 1431 535 721 1378 1199 2236 899 1743 348 1722 1034 2277 816 1214 698 863 1308 882 1369 1259 194 2292 480 358 2260 808 1480 2241 1766 1417 2029 416 1128 1144 272 13 386 725 417
732,381 2360 1450 1534 533 1768 516 697 1378 348 721 575 2165 1431 1199 899 1832 535 1743 1722 2236 816 2277 698 1034 1214 2260 1369 1308 1259 863 480 2292 358 882 194 808 1480 2241 2029 416 1128 1417 272 1144 1766 725 417 386 13
733,1450 2360 381 535 516 697 1534 533 1768 575 899 2165 1722 1199 721 1431 1743 1378 2277 348 1832 698 816 863 1214 1369 2260 2236 358 1034 386 2292 1128 1144 2029 1259 1308 480 882 194 808 272 2241 1480 1041 201 416 417 725 1647
734,381 1450 2360 1534 697 516 1768 1199 533 2165 1378 1832 1722 721 575 698 899 535 2236 1431 863 2277 1743 816 1369 348 1034 1214 2241 1144 2292 1259 882 194 2029 808 1308 2260 416 1647 1480 272 725 417 1296 386 480 1417 13 643
735,381 2360 1450 1534 533 1768 516 575 1199 2165 697 1832 1722 535 899 721 1378 1743 2277 348 1034 1214 698 863 2260 882 1308 2292 816 358 2029 2236 1369 1259 1431 194 2241 416 808 386 1480 480 725 914 1128 1766 417 643 1417 1144
736,381 2360 1450 1534 533 1768 516 575 1199 2165 697 1722 1832 721 899 535 1743 1378 2277 698 1034 348 1214 816 863 2260 2292 1308 882 2236 386 416 1259 1369 194 2029 808 1431 2241 358 914 725 480 1128 1480 643 1417 1766 417 13
737,381 2360 1450 1534 1768 533 516 575 2165 721 1199 535 1722 697 899 1743 1832 1378 863 1034 1214 2260 386 2277 416 2292 348 1431 816 2236 1259 882 194 1369 358 698 808 2029 1308 1480 2241 480 725 643 13 1128 1417 1144 201 1296
738,381 1534 2360 1450 533 1768 575 516 721 2165 1199 535 1722 899 697 1034 1378 1743 2029 1832 386 863 2260 1214 1369 2277 2292 348 358 882 416 1431 2236 816 1259 194 1308 808 698 201 1480 480 725 643 13 1128 2241 1695 1417 1041
739,381 2360 1450 1768 516 533 1199 535 1743 2165 1534 1722 899 575 721 194 1259 863 1214 882 1034 348 1308 1378 697 2292 2029 1480 386 816 358 2236 808 1128 2260 480 1431 1369 201 1832 416 2277 725 13 1041 1296 1417 698 643 1741
740,381 2360 882 194 533 1259 1450 1534 516 1034 1768 2165 899 575 1199 535 1722 721 1214 863 348 1308 1743 2029 697 2292 1378 1431 1369 386 816 808 2236 480 358 416 1128 1480 2260 1296 1555 1832 201 1041 13 1417 725 417 643 698
741,381 2360 194 1450 882 1259 1534 516 1034 899 2165 863 721 1722 1214 533 575 348 1768 535 1199 2029 1743 1369 480 1378 386 2292 416 697 808 2260 1128 1296 2236 358 1308 1041 201 726 1555 1480 13 2241 1431 417 643 725 1832 565
742,381 2360 1450 882 516 575 2165 1034 863 721 1534 899 194 1259 1214 533 1722 1768 535 2029 348 1743 1369 1199 1378 2292 416 480 1128 808 1296 565 2236 2260 358 726 2468 1308 13 1555 1041 201 386 417 1480 2241 1431 725 1832 697
743,2360 381 1450 575 2165 721 516 882 533 863 1534 899 1034 1259 1214 194 1722 2029 565 1768 2292 348 697 1369 1199 535 808 1128 416 1743 480 1296 1378 2236 816 2260 726 1308 2468 201 358 386 1480 13 300 725 2241 1555 1431 70
744,381 2360 516 1450 575 721 2165 533 863 1259 1534 194 1214 565 899 1722 1034 882 697 1199 2029 480 1369 1768 816 2292 348 1743 535 1128 1296 416 808 2236 2260 2468 386 201 1308 1480 300 358 726 13 1041 725 2241 1555 2008 643
